,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1_Expected Annual Damage,A.1_Dike Investment Costs,A.1_Expected Number of Deaths,A.2_Expected Annual Damage,A.2_Dike Investment Costs,A.2_Expected Number of Deaths,A.3_Expected Annual Damage,A.3_Dike Investment Costs,A.3_Expected Number of Deaths,A.4_Expected Annual Damage,A.4_Dike Investment Costs,A.4_Expected Number of Deaths,A.5_Expected Annual Damage,A.5_Dike Investment Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
19,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,4,3,9,9,0,4,7,0,0,2,2,0,2,2,5,8,0.0,264205782.60945028,0.0,4358373.475600326,137220471.0599543,0.0005975910415153164,0.0,22167818.198803753,0.0,0.0,15173808.632728375,0.0,0.0,128118700.92370662,0.0,1798100000.0,338.7109127241172
20,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,2,8,5,3,0,9,3,1,1,9,5,3,1,5,10,0.0,194383626.21147954,0.0,0.0,147378844.74942005,0.0,0.0,69869514.91937588,0.0,0.0,46652075.76659593,0.0,1118200.7200712229,134138039.29938006,0.00044934553241711997,1218600000.0,41.75756595358634
21,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,4,4,9,6,2,8,0,5,4,10,10,9,2,0,3,0.0,214138166.0715372,0.0,0.0,224770210.27684897,0.0,12159638.9440091,60031921.43603267,0.026472417850730803,0.0,84437764.05924752,0.0,1325734.3394873089,60039471.119519606,0.0014974883249575291,1315200000.0,0.0
22,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,2,9,6,0,6,10,5,6,0,7,2,2,0,5,4,0.0,216313636.58358413,0.0,8956198.161700543,187800350.68421805,0.010336037482490058,0.0,65941184.48239788,0.0,0.0,33458974.456726406,0.0,0.0,76159688.97366215,0.0,873500000.0,0.0
23,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,3,8,1,0,0,0,9,8,10,7,8,3,1,2,4,2,0.0,119076882.10729173,0.0,17771621.818536866,89992006.20155807,0.0024421876831291042,0.0,157791458.44911218,0.0,0.0,36316481.68192556,0.0,0.0,97013432.37877363,0.0,831600000.0,1183.0243285119186
24,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,8,9,4,4,7,10,0,6,0,9,2,4,6,6,5,0.0,272567958.4585744,0.0,0.0,281249210.5634917,0.0,3715211.4451930583,31398797.71871161,0.008039313638152072,0.0,42095591.87209478,0.0,0.0,144433354.3443391,0.0,1043500000.0,0.0
25,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,4,10,0,0,8,1,7,5,2,0,3,3,7,1,1,1,0.0,95107331.23784721,0.0,0.0,230520386.38246146,0.0,0.0,55021520.85615872,0.0,0.0,35250458.883853704,0.0,1118200.7200712229,77707505.98041888,0.00014978184413903998,698400000.0,100.4791430758171
26,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,9,0,4,2,3,4,6,2,3,2,3,2,6,4,4,0.0,150007532.07027638,0.0,2025950.139508045,157106440.80131105,0.0008683600719381016,0.0,90178534.847612,0.0,0.0,25046464.98747097,0.0,0.0,127811755.59329896,0.0,1187900000.0,64.61002910547998
27,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,0,4,1,2,5,2,2,5,0,10,9,7,8,3,0,0.0,85246019.34861892,0.0,553622.2267289424,160530299.5620497,0.00023582100518202773,0.0,52967973.44432734,0.0,0.0,72777767.3446016,0.0,0.0,88175439.14937997,0.0,1132100000.0,17.69026627582294
28,0,1,1,0,1,0,1,1,1,0,0,0,1,1,0,2,4,6,8,5,0,2,8,1,9,8,1,1,3,0,6,0.0,224067754.10697454,0.0,0.0,110061574.43848997,0.0,0.0,118792695.81478623,0.0,0.0,32931700.191222347,0.0,10666058.934302535,74896439.20493636,0.0018182508961773762,991300000.0,651.3013108874604
29,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,2,1,10,6,4,4,2,2,7,3,7,2,9,0,4,1,0.0,218919532.73950613,0.0,0.0,170416126.33920276,0.0,0.0,91510513.5490641,0.0,0.0,48088717.15538795,0.0,17873261.80764464,62015940.60605301,0.0029837187695126778,1525000000.0,1110.8132160108698
30,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,1,3,3,9,9,1,9,2,1,2,3,3,0,4,0.0,76431543.68310125,0.0,0.0,282061437.64855075,0.0,0.0,93316278.13050637,0.0,0.0,23253361.287507407,0.0,0.0,67268466.33257627,0.0,931300000.0,0.0
31,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,4,5,0,2,6,6,0,2,3,6,9,5,4,10,5,5,0.0,98043050.03325048,0.0,0.0,146841946.52894095,0.0,1053936.8618038292,85190627.71842328,0.00028054451420506387,0.0,48639723.720887154,0.0,0.0,170211710.04101685,0.0,673800000.0,65.8384350621343
32,1,0,0,0,1,1,0,1,1,0,0,1,1,1,0,4,3,9,3,0,0,6,2,0,2,10,9,10,8,8,3,0.0,199892341.9132232,0.0,12643098.268899085,66045103.44010488,0.0017383912555919581,0.0,45876507.22344398,0.0,0.0,84370761.89025998,0.0,0.0,163831867.51337737,0.0,1215000000.0,981.7349694967492
33,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,3,3,6,9,3,6,3,8,0,7,0,10,3,6,0,2,0.0,224819625.67734224,0.0,0.0,185628313.09170392,0.0,0.0,82060304.65513833,0.0,0.0,32213521.725695886,0.0,0.0,74011736.27191554,0.0,1736700000.0,0.0
34,0,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,3,0,2,6,4,0,2,9,10,5,5,4,3,3,1,0.0,83497824.69174261,0.0,0.0,131321771.566306,0.0,0.0,129585594.63698533,0.0,0.0,37729292.17227027,0.0,0.0,94551485.92077652,0.0,1561600000.0,0.0
35,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,2,1,3,6,9,0,7,8,5,7,5,0,2,9,3,0,0.0,145883058.26646656,0.0,0.0,189195314.94508117,0.0,0.0,127930973.9745432,0.0,0.0,19742157.81013341,0.0,0.0,94182724.21680857,0.0,869900000.0,0.0
36,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,3,2,2,1,1,1,6,6,5,6,9,9,1,5,2,2,0.0,114498063.14503726,0.0,3898247.427137691,148432968.6674199,0.0005476942044452819,0.0,112068510.66038358,0.0,0.0,54267542.718839996,0.0,0.0,104190896.12482566,0.0,1134000000.0,257.75570953222064
37,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,8,3,3,6,0,6,7,4,7,1,3,4,2,4,5,0.0,192835407.3124941,0.0,0.0,146841946.52894095,0.0,0.0,117150034.25041166,0.0,559338.3342789579,26152919.996159017,0.0003671732540561952,0.0,108144094.08165935,0.0,825700000.0,0.0
38,0,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,4,6,10,9,1,10,3,3,9,5,2,4,3,3,2,0.0,250386862.69155878,0.0,0.0,281011343.17254627,0.0,0.0,100641828.00461361,0.0,0.0,32008148.391127184,0.0,0.0,97660059.46776915,0.0,1390100000.0,0.0
39,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,3,2,6,6,0,2,6,10,2,6,3,3,1,9,0.0,83497824.69174261,0.0,0.0,146841946.52894095,0.0,0.0,113599768.6421128,0.0,0.0,31853797.985242143,0.0,0.0,118798538.35350744,0.0,1220900000.0,0.0
40,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,2,7,1,7,0,10,5,5,7,1,3,1,10,0,0,5,0.0,198655966.29970902,0.0,6338231.3652788075,182660272.67043388,0.0010921917710498667,0.0,99660374.75735056,0.0,0.0,38761194.062009096,0.0,910667.1006551374,36676675.840294495,0.00014983136160397065,735000000.0,396.56738275538476
41,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,8,3,2,9,8,6,10,5,1,6,3,1,0,3,0.0,131633016.52358353,0.0,0.0,256686772.12763238,0.0,0.0,134789407.18298376,0.0,150147.66377555768,30032276.640642032,3.4911453826189686e-05,19184360.340299416,56425877.743436806,0.007737479909922141,1027900000.0,720.275177393129
42,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,2,4,10,5,5,6,2,2,7,1,7,1,2,5,10,6,0.0,243026739.99148428,0.0,0.0,199502185.3342409,0.0,0.0,86235112.72888009,0.0,0.0,31851732.358506463,0.0,0.0,172162131.17940646,0.0,1049400000.0,0.0
43,1,1,1,0,1,1,0,1,1,0,1,1,0,0,0,4,2,5,9,0,7,2,10,1,1,1,1,6,3,0,7,0.0,202852513.82295227,0.0,5230029.815159301,127487673.07826531,0.000718130980333972,0.0,101996834.23161708,0.0,146935.08167469257,26318922.396294314,1.1220477004879088e-05,0.0,79232000.72221279,0.0,993200000.0,420.6895575182664
44,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,3,7,5,1,9,0,10,2,2,1,3,6,0,0,0,0.0,193182852.58200318,0.0,1969469.4790345998,131312232.00609401,0.0008220664548313327,0.0,108411807.24936754,0.0,0.0,29460091.538647782,0.0,127302477.00988787,0.0,0.05110983677643501,1247400000.0,4820.823180679701
45,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,3,10,5,5,7,3,2,9,2,6,4,1,2,0,1,0.0,231021241.13800097,0.0,0.0,217739313.15848744,0.0,0.0,97679861.7438258,0.0,0.0,33292100.843263462,0.0,0.0,54355764.74753119,0.0,1676900000.0,0.0
46,1,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,4,8,8,0,1,5,7,9,3,6,7,7,0,7,0.0,135122680.3738662,0.0,0.0,131317077.63893835,0.0,0.0,130056092.75016913,0.0,0.0,41672202.31552473,0.0,0.0,100105457.62015328,0.0,1215000000.0,0.0
47,1,0,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0,2,3,3,8,6,7,9,3,1,2,4,3,0,5,0.0,82486364.32617709,0.0,0.0,233317563.4306329,0.0,0.0,127023032.93934074,0.0,0.0,24626847.251278743,0.0,0.0,70917961.72350763,0.0,1336200000.0,0.0
48,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,6,5,8,5,0,3,5,2,0,9,6,7,4,1,10,0.0,237161696.09891078,0.0,0.0,116004983.79615441,0.0,0.0,55021520.85615872,0.0,0.0,58782577.18702783,0.0,0.0,130835203.48621926,0.0,1305500000.0,0.0
49,0,0,1,1,1,0,0,1,1,1,1,0,0,0,1,2,8,3,3,5,1,1,4,3,5,5,2,5,4,0,8,0.0,192835407.3124941,0.0,0.0,151439155.4442835,0.0,0.0,90516936.7066327,0.0,0.0,33745944.65249044,0.0,0.0,88812334.74421489,0.0,1080100000.0,0.0
50,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,2,3,6,7,4,10,4,1,9,2,6,2,10,0,0,7,0.0,201647263.58598375,0.0,0.0,252608289.96568233,0.0,0.0,93316278.13050637,0.0,0.0,48226955.76796037,0.0,1821334.201310275,44193513.54513965,0.0002996627232079413,1362500000.0,114.54372609364016
51,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,1,3,2,3,7,5,2,7,3,0,2,0,3,4,2,0.0,119045917.89979702,0.0,0.0,212068525.36524838,0.0,0.0,91510513.5490641,0.0,2324755.695580811,7332080.219521779,0.0005140726421579313,0.0,102159388.73150346,0.0,1093800000.0,97.36643071918333
52,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,3,0,4,2,4,7,4,8,7,3,8,4,0,1,8,0,0.0,90462322.17815001,0.0,0.0,214438631.60754463,0.0,0.0,122116018.30250412,0.0,0.0,28794046.716593646,0.0,21320145.23352837,75156961.93789655,0.002883856276386294,589200000.0,1628.707424480484
53,1,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,4,2,5,2,9,6,10,5,1,1,5,5,9,9,0.0,90462322.17815001,0.0,0.0,223916020.81104293,0.0,0.0,134789407.18298376,0.0,0.0,24695742.681543775,0.0,0.0,184523269.75552836,0.0,1390100000.0,0.0
54,0,1,0,1,1,0,0,1,1,1,1,0,0,1,1,3,8,2,7,2,8,0,8,5,0,8,7,9,4,2,3,0.0,220393117.44626692,0.0,0.0,129745367.50214851,0.0,0.0,74964671.67903003,0.0,0.0,64803197.063223675,0.0,0.0,102053281.70321563,0.0,1336200000.0,0.0
55,1,1,0,1,0,0,1,1,0,0,0,1,1,0,1,3,9,1,3,9,4,4,1,5,7,5,0,1,4,6,1,0.0,188684062.88192984,0.0,0.0,244777163.39923275,0.0,0.0,91946991.35092777,0.0,0.0,18545877.781152677,0.0,0.0,114479718.26030803,0.0,1081800000.0,0.0
56,1,0,1,0,0,1,1,1,1,0,1,1,0,1,0,2,2,1,8,9,6,2,6,3,7,9,0,0,4,2,1,0.0,156613725.01964405,0.0,0.0,250236372.23936296,0.0,0.0,107306943.94900325,0.0,0.0,18144080.211109996,0.0,0.0,95551972.64492762,0.0,977600000.0,0.0
57,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,2,1,2,1,7,2,0,7,2,3,0,8,10,7,10,9,0.0,107385518.6904647,0.0,0.0,127487673.07826531,0.0,0.0,95009852.77927995,0.0,2295107.529501722,42779651.3623051,0.00020939019794320333,0.0,211828871.56385672,0.0,825700000.0,160.74662627852018
58,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,3,2,10,6,0,9,3,2,1,3,7,10,2,0,5,4,0.0,229843289.88722765,0.0,6338231.3652788075,154728075.86138678,0.0008737534168398932,0.0,70642460.95962262,0.0,0.0,53031780.90480893,0.0,0.0,76159688.97366215,0.0,1083700000.0,421.52478683793447
59,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,4,4,4,0,4,1,4,1,8,6,5,1,7,4,3,0,0.0,102578836.07266891,0.0,0.0,160225076.80785978,0.0,0.0,101344174.45167941,0.0,0.0,35992991.66480964,0.0,0.0,68094717.76275629,0.0,989600000.0,0.0
60,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,4,7,7,5,0,5,2,8,4,0,7,8,4,7,3,9,0.0,240736110.61674637,0.0,5230029.815159301,110061574.43848997,0.000718130980333972,0.0,71831046.38693634,0.0,0.0,50690779.05754431,0.0,0.0,156917600.89639413,0.0,1080100000.0,406.2779742064185
61,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,4,3,5,5,3,2,5,2,4,3,4,10,4,7,10,2,0.0,172605360.86567047,0.0,0.0,165480625.60161948,0.0,0.0,80009350.01863588,0.0,0.0,48530288.78386812,0.0,0.0,166620588.5758616,0.0,1374500000.0,0.0
62,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,2,2,5,7,4,0,2,1,0,3,8,1,9,5,3,6,0.0,181186165.6944571,0.0,0.0,102336429.85235605,0.0,12736994.145088542,45324187.55237766,0.004194578948669533,0.0,48929808.12194295,0.0,0.0,125274415.78297171,0.0,1186000000.0,554.9252355464288
63,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,0,5,1,6,3,4,3,2,3,5,7,3,4,7,4,5,0.0,166927546.49260283,0.0,0.0,167388993.22428545,0.0,0.0,82114518.66040653,0.0,0.0,38523445.297830656,0.0,0.0,139497823.77407175,0.0,1203000000.0,0.0
64,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,4,9,3,6,5,0,7,7,5,0,10,0,5,8,2,6,0.0,233359002.68889344,0.0,0.0,146137633.1823734,0.0,0.0,70656192.99188861,0.0,0.0,35873302.62049332,0.0,0.0,140903398.20759493,0.0,831600000.0,0.0
65,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,8,5,4,2,4,4,6,2,2,2,3,3,6,5,5,0.0,220972854.78494912,0.0,2036219.350503216,165162577.62774324,0.0024354919256395586,0.0,87522215.84550698,0.0,0.0,26372924.31264166,0.0,0.0,138219256.1495969,0.0,1105000000.0,0.0
66,1,0,1,1,0,1,1,1,0,1,1,0,0,0,1,4,1,6,7,5,8,1,8,1,5,5,0,5,2,0,1,0.0,181693838.44953766,0.0,0.0,214749881.67312044,0.0,0.0,102811671.6963974,0.0,0.0,24162426.948826768,0.0,0.0,54355764.74753119,0.0,1164700000.0,0.0
67,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,4,1,1,2,1,6,8,7,3,4,9,3,1,6,0.0,85246019.34861892,0.0,1984873.2955273571,124827903.5097079,0.0008346919867695426,0.0,131787974.41303107,0.0,0.0,42132027.7038687,0.0,0.0,104111123.05742735,0.0,958900000.0,63.67736115428107
68,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,2,5,5,5,9,5,3,6,2,9,3,2,4,5,7,2,0.0,193344393.89818436,0.0,0.0,246958623.48055464,0.0,0.0,111650604.2826975,0.0,0.0,28031896.220687415,0.0,0.0,130228550.45096281,0.0,807000000.0,0.0
69,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,3,4,8,4,2,0,6,10,3,2,4,2,2,2,6,0.0,191744677.10089743,0.0,0.0,102336429.85235605,0.0,0.0,126914073.3252179,0.0,0.0,26670945.54240884,0.0,0.0,103140455.9730553,0.0,916200000.0,0.0
70,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1,0,7,5,1,1,0,6,7,4,3,5,5,2,5,1,0.0,136422954.7271911,0.0,4430337.318091991,77797112.44472042,0.0018612549278083461,0.0,114129776.63094811,0.0,0.0,35178390.70727274,0.0,0.0,98480404.25731054,0.0,1208900000.0,142.17383027491042
71,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,3,5,0,6,3,8,2,7,7,2,4,6,8,5,1,1,0.0,125797238.44921103,0.0,0.0,199704931.30626202,0.0,0.0,112999944.14175674,0.0,0.0,46634054.565197766,0.0,0.0,96923603.35265538,0.0,577200000.0,0.0
72,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1,2,1,4,6,6,0,7,9,5,7,10,0,7,7,2,1,0.0,154002586.64038622,0.0,0.0,155736187.608082,0.0,0.0,134352436.64060292,0.0,0.0,40341224.33931139,0.0,0.0,112962349.39735946,0.0,1336200000.0,0.0
73,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,3,5,2,5,2,6,2,4,0,1,4,6,8,5,9,6,0.0,166327001.80438963,0.0,0.0,169477605.90682358,0.0,0.0,49622725.1402255,0.0,0.0,46634054.565197766,0.0,0.0,163970596.35811847,0.0,606200000.0,0.0
74,0,1,1,0,1,0,1,0,0,1,1,1,0,0,1,4,2,1,6,1,7,7,8,2,6,4,1,1,5,3,3,0.0,139379418.20097363,0.0,3325918.1649519326,209991277.7959833,0.00046397621234010454,0.0,110226828.70645653,0.0,0.0,24402350.586868413,0.0,0.0,112292344.63704439,0.0,1037400000.0,257.1257328528951
75,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,2,5,5,5,9,2,10,7,0,5,3,1,5,6,7,7,0.0,193344393.89818436,0.0,0.0,291958444.9768038,0.0,0.0,70656192.99188861,0.0,0.0,28105580.528124608,0.0,0.0,162738541.54706326,0.0,627500000.0,0.0
76,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,5,6,2,3,3,7,0,4,4,3,3,6,2,1,7,0.0,179711315.8072363,0.0,0.0,190450460.34291357,0.0,1020424.478338505,56604892.31464201,0.00079379815515733,0.0,33201096.218706846,0.0,0.0,103236239.427364,0.0,946900000.0,27.217602493332944
77,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,7,3,0,4,5,5,10,2,6,4,1,0,7,0.0,103162272.08375776,0.0,0.0,106860238.4866137,0.0,0.0,124736878.9103472,0.0,0.0,33478544.815998152,0.0,19184360.340299416,70740857.80294001,0.021492999749783727,997200000.0,0.0
